CONSTITUENT_ID	AGE	GENDER	MARRIED	STATE	COUNT(F.FAMILY_ID)	COUNT(E.EVENT_ATTENDEE_ID)	COUNT(V.VOLUNTEER_ID)	sum(T.AMOUNT)
1002074	63	Female	0	California	0	0	0	NULL
1003160	87	Male	0	South Carolina	0	0	0	NULL
1005388	26	Female	0	Illinois	0	0	0	NULL
1007556	23	Female	0	Illinois	0	0	0	NULL
1007582	24	Female	0	Illinois	0	0	0	NULL
1007723	24	Female	0	Illinois	0	0	0	NULL
1007796	22	Female	0	Illinois	0	0	0	20
1007873	49	Female	0	Illinois	0	0	0	NULL
1018043	66	Female	0	Illinois	0	0	0	NULL
1018106	69	Male	0	No State	0	0	0	NULL
1018195	65	Female	1	Wisconsin	0	0	0	NULL
1018371	68	Male	1	Ohio	0	0	0	NULL
1018473	66	Male	1	Washington	0	0	0	NULL
1018483	66	Female	1	Illinois	0	0	0	NULL
1018551	61	Female	0	Louisiana	0	0	0	NULL
1018568	64	Male	0	Illinois	1	0	0	NULL
1018578	61	Female	0	Illinois	0	0	0	NULL
1018672	64	Male	0	Pennsylvania	0	0	0	NULL
1018682	69	Female	0	Illinois	0	0	0	NULL
1018697	68	Female	0	Illinois	0	0	0	NULL
1033897	68	Male	1	Nevada	0	0	0	NULL
1033898	66	Female	0	Texas	0	0	0	NULL
1033963	65	Male	0	New Mexico	0	2	0	45
1034020	70	Female	0	Texas	0	0	0	NULL
1034088	70	Female	0	California	0	0	0	NULL
1035734	65	Female	0	Georgia	0	0	0	NULL
1035811	71	Male	0	Arizona	0	0	0	NULL
1040640	24	Female	0	Illinois	0	0	0	NULL
1041837	25	Male	0	Illinois	0	0	0	NULL
1051138	63	Male	0	Georgia	0	0	0	NULL
1051280	67	Female	0	Texas	0	0	0	NULL
1051333	65	Male	1	Colorado	0	0	0	NULL
1052642	66	Female	1	Wisconsin	0	1	0	NULL
1052648	69	Male	1	Texas	0	0	0	NULL
1052654	62	Male	0	Illinois	0	0	0	NULL
1052721	61	Female	1	Illinois	0	0	1	NULL
1052725	65	Male	0	Illinois	0	1	0	NULL
1052761	66	Female	1	Colorado	0	0	0	NULL
1052840	62	Female	0	Illinois	0	0	0	NULL
1058592	94	Female	1	New Jersey	0	13	0	320
1059041	63	Female	0	Illinois	0	0	0	NULL
1059091	65	Female	1	Illinois	0	0	0	NULL
1059248	77	Male	1	No State	0	0	0	NULL
1059281	74	Female	0	Colorado	0	0	0	NULL
1059400	62	Female	1	Illinois	0	0	0	NULL
1059824	62	Male	0	Colorado	0	0	0	NULL
1059907	64	Female	1	Illinois	1	0	1	NULL
1059909	74	Female	0	California	0	0	0	NULL
1059922	59	Female	0	North Carolina	0	0	0	NULL
1060956	107	Female	0	No State	0	0	0	20
1061968	61	Female	0	Illinois	0	0	0	NULL
1061991	70	Female	0	Illinois	0	0	1	NULL
1062023	64	Male	0	Illinois	0	0	0	NULL
1062068	60	Female	0	Illinois	0	0	0	NULL
1062120	65	Female	0	Florida	0	0	0	NULL
1062132	65	Female	0	Colorado	0	0	0	NULL
1062138	66	Female	0	Illinois	0	0	0	NULL
1062144	60	Female	0	Michigan	0	0	0	NULL
1062151	58	Female	1	Illinois	0	1	0	NULL
1062156	59	Female	0	Illinois	0	0	0	NULL
